dataset,regime,method,seed,epochs,val_acc,val_f1,H_hat_M,K_hat_M_eta_0.05,K_hat_M_eta_0.10,tau_hat_M_0.001,tau_hat_M_0.005,tau_hat_M_0.01,R_hat,R_hat_class_mean,effective_rank,mean_pairwise_sim,std_pairwise_sim,mean_within_class_dispersion,mean_inter_class_distance,inter_intra_ratio
cifar10,balanced_100,baseline,42,200,0.9406,0.9407851735545272,10.714351655879865,42748,40498,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.01108611,0.056511033,8.988792614487974,4.5283164e-06,0.33361927,0.23009057,1.4157697,6.153097
cifar10,balanced_100,hems,42,200,0.946,0.9459820900851443,10.714413268762582,42750,40500,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.6882861,0.70990396,62.23542604317189,0.05412292,0.13725325,1.133928,0.81288695,0.7168771
cifar10,balanced_100,baseline,123,200,0.9448,0.9447913474212516,10.714382462321224,42749,40499,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.010934537,0.05423246,8.989079575744643,0.00013655948,0.33361134,0.2311962,1.4150462,6.120543
cifar10,balanced_100,hems,123,200,0.946,0.9460686849545328,10.714413268762582,42750,40500,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.67766124,0.6989171,61.200300952372835,0.0566055,0.13880463,1.1280876,0.8187969,0.72582734
cifar10,balanced_100,baseline,456,200,0.947,0.9470467499348659,10.714320849438508,42747,40497,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.0116607,0.057336938,8.988232046477005,0.00037833175,0.33364144,0.23853727,1.4126174,5.921999
cifar10,balanced_100,hems,456,200,0.9432,0.9432891698471149,10.714413268762582,42750,40500,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.6750496,0.69855607,60.6251760653249,0.05591467,0.1393096,1.1296937,0.8167878,0.723017
cifar10,scarcity_30,baseline,42,150,0.8954,0.8951996739922343,9.510032860942651,12821,12146,1.0,1.0,1.0,0.031265028,0.13441347,8.966728900192063,0.00011424756,0.3344491,0.39063287,1.3427942,3.4374838
cifar10,scarcity_30,hems,42,150,0.896,0.8960177387213744,9.510443614427428,12825,12150,1.0,1.0,1.0,0.7510693,0.7940825,69.65531602838116,0.03302274,0.13536036,1.1816161,0.76178557,0.644698
cifar10,scarcity_30,baseline,123,150,0.8896,0.8896283568117889,9.510135549313846,12822,12147,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.034891114,0.1396561,8.963704607483182,0.00024332205,0.33456016,0.40509492,1.3373189,3.3012483
cifar10,scarcity_30,hems,123,150,0.8948,0.8947842208045902,9.510443614427428,12825,12150,1.0,1.0,1.0,0.7570662,0.7986982,73.25385593659185,0.03805884,0.13354018,1.1781614,0.76064044,0.64561653
cifar10,scarcity_30,baseline,456,150,0.8966,0.8967662581173794,9.509930172571458,12820,12145,1.0,1.0,1.0,0.03402253,0.14250791,8.963124683410058,0.0002744784,0.33459246,0.40025273,1.338364,3.3437972
cifar10,scarcity_30,hems,456,150,0.8954,0.8955439627754005,9.510443614427428,12825,12150,1.0,1.0,1.0,0.7510264,0.793423,68.30967701113131,0.035593543,0.13705303,1.1772902,0.7652068,0.649973
